w,o,h,l,v,q
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27392675,30391.30000000,30420.00000000,30120.00000000,22439.62619000,679590225.97792430
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27392675,30391.30000000,30420.00000000,30120.00000000,22439.62619000,679590225.97792430
30285.27392932,30391.30000000,30420.00000000,30120.00000000,22439.62883000,679590305.98890590
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27392675,30391.30000000,30420.00000000,30120.00000000,22439.62619000,679590225.97792430
30285.27392932,30391.30000000,30420.00000000,30120.00000000,22439.62883000,679590305.98890590
30285.27387437,30391.29000000,30420.00000000,30120.00000000,22439.61720000,679589952.53811620
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27392675,30391.30000000,30420.00000000,30120.00000000,22439.62619000,679590225.97792430
30285.27392932,30391.30000000,30420.00000000,30120.00000000,22439.62883000,679590305.98890590
30285.27387437,30391.29000000,30420.00000000,30120.00000000,22439.61720000,679589952.53811620
30285.27500139,30391.29000000,30420.00000000,30120.00000000,22440.79099000,679625526.38093170
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27392675,30391.30000000,30420.00000000,30120.00000000,22439.62619000,679590225.97792430
30285.27392932,30391.30000000,30420.00000000,30120.00000000,22439.62883000,679590305.98890590
30285.27387437,30391.29000000,30420.00000000,30120.00000000,22439.61720000,679589952.53811620
30285.27500139,30391.29000000,30420.00000000,30120.00000000,22440.79099000,679625526.38093170
30285.27454897,30391.30000000,30420.00000000,30120.00000000,22440.72480000,679623511.64583330
30285.27446976,30391.29000000,30420.00000000,30120.00000000,22439.52071000,679587043.67222800
30285.27430123,30391.29000000,30420.00000000,30120.00000000,22439.64172000,679590704.71154740
30285.27417220,30391.30000000,30420.00000000,30120.00000000,22439.61958000,679590031.30006000
30285.27412904,30391.30000000,30420.00000000,30120.00000000,22439.63678000,679590551.23829290
30285.27388882,30391.29000000,30420.00000000,30120.00000000,22439.58594000,679589006.14460430
30285.27392675,30391.30000000,30420.00000000,30120.00000000,22439.62619000,679590225.97792430
30285.27392932,30391.30000000,30420.00000000,30120.00000000,22439.62883000,679590305.98890590
30285.27387437,30391.29000000,30420.00000000,30120.00000000,22439.61720000,679589952.53811620
30285.27500139,30391.29000000,30420.00000000,30120.00000000,22440.79099000,679625526.38093170
30285.27454897,30391.30000000,30420.00000000,30120.00000000,22440.72480000,679623511.64583330

